pau-@ 1 0.84776
@-pau 0.86234 1
^-i: 0.9986 0.68957
^-I 0.93249 0.68171
^-E 0.95764 0.81187
^-@ 0.77212 0.55695
^-^ 0.76884 0.94891
^-u 0.91239 0.69668
^-U 0.8431 0.72826
^-A 1.0014 0.60724
^-> 0.91458 0.66624
^-3r 0.82682 0.78901
^-ei 0.87184 0.74651
^-aI 0.96609 0.79451
^->i 0.91845 0.7231
^-iU 0.85161 0.84282
^-aU 1.136 0.643
^-oU 0.97734 0.56204
^-t 0.90199 1
^-k 0.9017 1
^-b 0.82816 1
^-d 0.89852 1
^-m 0.94457 0.59373
^-n 1.2974 0.78776
^-N 0.99109 0.73307
^-dZ 1.1269 1
^-l 1.4002 0.76392
^-9r 1.172 0.96855
^-j 1.0076 0.56302
^-w 1.0621 0.80517
t-^ 1 1.1064
m-^ 0.6798 0.92183
n-^ 0.79559 0.99355
N-^ 0.78208 1.0321
T-^ 1 0.89949
D-^ 1 0.86417
l-^ 0.75904 0.96876
9r-^ 1.1121 0.97186
j-^ 0.80011 1.0053
w-^ 0.76034 1.0618
^-pau 0.90302 1
&-m 1 0.79594
&-n 1 0.83844
&-N 1 1.1383
&-l 1 0.76479
&-9r 1 0.81553
&-w 1 0.62895
m-& 0.69186 1
n-& 0.87584 1
N-& 0.83684 1
l-& 0.65893 1
9r-& 1.1626 1
w-& 0.81845 1
u-i: 1.4187 0.87647
u-I 1.3092 0.86369
u-E 1.1179 1.0138
u-@ 0.97586 0.74157
u-^ 1.0185 1.2547
u-u 1.0245 0.89953
u-U 1.6992 0.85804
u-A 1.1533 0.93186
u-> 1.1666 0.84169
u-3r 1.1819 0.9317
u-ei 0.99849 0.8146
u-aI 1.0795 0.87184
u->i 1.1034 0.89528
u-iU 1.2796 0.96078
u-aU 1.3455 1.1762
u-oU 1.7019 1.0374
u-m 0.98389 0.70033
u-n 0.92726 0.77145
u-N 0.95711 0.79488
u-S 0.87282 1
u-D 0.90263 1
u-tS 0.8935 1
u-l 1.0045 0.86664
u-9r 0.99825 0.54313
u-j 1.0766 0.69067
u-w 1.0341 0.65532
m-u 0.74753 0.98094
n-u 0.828 0.83462
N-u 0.81233 0.82682
s-u 1 1.1181
9r-u 1.0239 0.82131
j-u 0.76768 0.91721
w-u 0.60962 0.8346
u-pau 0.85753 1
U-i: 0.91223 0.8366
U-E 1.2952 1.159
U-@ 1.3319 0.94637
U-^ 1.3407 1.4985
U-u 1.2315 1.1767
U-U 1.1865 1.0045
U-A 1.2675 1.0176
U-> 1.4843 0.93189
U-3r 1.439 1.113
U-ei 1.3538 1.0536
U-aI 1.1882 1.0809
U->i 1.2546 1.0568
U-iU 1.6776 1.16
U-aU 1.4768 0.91704
U-oU 1.3677 0.85549
U-d 1.1173 1
U-m 0.83148 0.85939
U-n 0.9239 0.80692
U-N 0.93645 0.88079
U-f 0.87238 1
U-D 0.90197 1
U-Z 0.7775 1
U-tS 0.87623 1
U-9r 1.0902 0.65126
U-j 1.0215 0.61767
U-w 0.94713 0.84156
t-U 1 1.2392
k-U 1 1.1638
n-U 0.9846 0.86502
N-U 0.81696 0.95432
f-U 1 0.85536
h-U 1 0.88292
D-U 1 0.83621
l-U 1.2438 0.98625
9r-U 1.5078 0.96333
j-U 1.9015 0.9746
pau-U 1 0.88226
U-pau 0.85749 1
A-i: 1.1126 0.97055
A-I 0.96392 0.86865
A-@ 1.0332 0.76382
A-^ 1.2532 1.3927
A-U 1.1878 0.82886
A-A 1.0565 0.85662
A-> 0.92963 0.89025
A-aU 1.3291 1.0421
A-t 1.1464 1
A-k 1.203 1
A-d 0.90298 1
A-m 1.281 1.0239
A-n 1.1789 1.0313
A-N 1.1061 0.91972
A-T 1.1991 1
A-s 1.1572 1
A-S 1.1164 1
A-z 1.1364 1
A-tS 1.1622 1
A-dZ 1.1451 1
A-l 1.0008 0.80098
A-9r 1.0837 1.1163
A-j 0.91929 0.59275
A-w 0.89919 0.95064
p-A 1 0.83491
k-A 1 0.86105
b-A 1 0.79809
m-A 0.70623 0.99923
f-A 1 0.86137
T-A 1 0.79483
s-A 1 0.87156
v-A 1 1.1096
D-A 1 0.8947
tS-A 1 0.86137
9r-A 1.4087 0.97716
j-A 0.80821 0.93589
w-A 1.1882 1.0102
A-pau 0.88909 1
>-I 0.90062 0.97404
>-E 1.1661 1.291
>-@ 1.2481 0.99443
>-^ 1.1323 1.5378
>-u 1.1406 1.2017
>-U 1.2587 1.2327
>-A 1.1188 1.096
>-> 1.3077 1.0254
>-3r 1.0854 1.1174
>-ei 1.1035 1.1122
>-aI 1.1937 1.3082
>->i 1.1538 1.1176
>-iU 1.2806 1.0903
>-oU 1.1719 1.0679
>-t 1.1604 1
>-k 1.1126 1
>-g 1.1152 1
>-m 1.1145 0.79339
>-N 1.0252 0.85101
>-dZ 1.1779 1
>-l 1.0451 1.2126
>-9r 0.9908 0.79798
>-j 1.1369 0.7526
t-> 1 1.1727
k-> 1 1.1717
b-> 1 1.11
d-> 1 1.1935
g-> 1 1.1269
m-> 0.97063 1.1981
n-> 1.1568 1.2127
N-> 1.1009 1.016
s-> 1 1.2818
S-> 1 1.13
h-> 1 1.149
v-> 1 1.1883
D-> 1 1.1392
z-> 1 1.1949
Z-> 1 1.127
dZ-> 1 0.90596
l-> 1.8064 1.0405
9r-> 1.3582 1.0417
j-> 1.1515 1.053
w-> 1.1169 1.0077
>-pau 0.74136 1
3r-i: 1.8037 0.95899
3r-I 1.3776 0.87957
3r-E 1.3774 1.0665
3r-@ 1.2964 0.86429
