>i-aU 1.0464 1.1651
>i-oU 1.1713 0.89456
>i-p 0.89 1
>i-b 0.73531 1
>i-m 0.9289 0.88386
>i-n 0.93289 0.79998
>i-N 0.88599 0.93523
>i-S 1.1262 1
>i-v 1.1748 1
>i-D 1.1555 1
>i-z 1.1918 1
>i-Z 1.132 1
>i-dZ 0.68682 1
>i-l 0.8501 0.8142
>i-9r 0.75683 0.82837
>i-j 0.82884 0.78058
>i-w 0.91647 0.80706
g->i 1 0.87906
N->i 0.95934 1.3877
f->i 1 1.1334
T->i 1 1.2647
s->i 1 1.3313
S->i 1 1.2071
h->i 1 1.13
D->i 1 1.181
dZ->i 1 1.2391
9r->i 1.7354 1.0697
w->i 1.6342 1.0947
iU-i: 1.0445 1.1019
iU-I 0.92729 0.7684
iU-E 0.90632 1.0001
iU-@ 1.2091 1.018
iU-^ 1.227 0.95432
iU-u 1.1915 0.88412
iU-U 1.2228 0.84679
iU-A 0.88725 1.1243
iU-ei 0.90079 1.1235
iU->i 0.85394 1.0494
iU-iU 0.95068 0.88982
iU-aU 1.1289 1.0375
iU-oU 1.1076 1.0145
iU-t 1.2515 1
iU-m 0.96532 0.88633
iU-n 1.0158 0.88545
iU-f 1.1934 1
iU-s 1.196 1
iU-D 1.1284 1
iU-Z 1.139 1
iU-tS 1.1988 1
iU-dZ 1.1827 1
iU-j 0.9576 0.76927
iU-w 1.0244 0.82206
p-iU 1 0.74121
t-iU 1 0.90744
k-iU 1 0.89848
b-iU 1 0.76213
d-iU 1 0.80575
g-iU 1 0.84211
n-iU 0.90764 1.0511
N-iU 0.9158 1.1096
f-iU 1 0.90064
v-iU 1 0.69568
D-iU 1 0.81826
z-iU 1 0.87884
Z-iU 1 0.89754
9r-iU 1.2324 0.82123
j-iU 1.3504 1.0575
w-iU 0.86633 0.74406
pau-iU 1 1.133
iU-pau 0.76196 1
aU-i: 0.84321 1.004
aU-I 0.85263 0.89481
aU-E 0.85267 0.97027
aU-@ 1.1027 0.79313
aU-^ 0.85714 0.96546
aU-u 1.0862 0.7383
aU-U 1.4527 0.80103
aU-A 1.0866 0.84688
aU-> 1.3713 0.78894
aU-iU 1.2578 0.8472
aU-aU 1.1571 0.81679
aU-oU 1.1226 0.76959
aU-n 1.1769 0.95733
aU-h 0.84156 1
aU-D 0.84555 1
aU-z 0.89188 1
aU-Z 0.82983 1
aU-tS 0.81858 1
aU-l 0.82549 0.74275
aU-j 0.94335 0.754
aU-w 1.0695 1.3374
p-aU 1 0.79288
m-aU 1.2781 0.9997
n-aU 1.2268 1.0311
N-aU 1.1891 1.1185
f-aU 1 0.90141
S-aU 1 0.77724
v-aU 1 0.83568
D-aU 1 0.90902
dZ-aU 1 1.1201
l-aU 1.5111 0.9315
9r-aU 1.138 0.97499
j-aU 1.2615 0.87734
w-aU 1.6977 0.87506
oU-I 1.065 0.79747
oU-E 1.3607 0.85842
oU-@ 1.3267 0.82107
oU-^ 1.2686 0.70914
oU-u 1.1139 0.95978
oU-U 1.5955 0.87035
oU-A 0.99627 0.83529
oU-> 1.222 0.87578
oU-3r 1.3889 0.88826
oU-ei 1.3103 0.9206
oU->i 1.1737 1.2036
oU-iU 1.0972 0.88785
oU-aU 1.4485 1.0755
oU-oU 1.2423 0.9043
oU-p 0.8433 1
oU-k 0.90785 1
oU-b 0.87461 1
oU-m 1.1362 1.0011
oU-N 0.87768 0.82531
oU-f 0.56095 1
oU-T 0.82802 1
oU-S 0.8249 1
oU-h 0.78088 1
oU-D 0.78329 1
oU-tS 0.87753 1
oU-l 1.0233 0.69892
oU-9r 0.81565 0.97407
oU-w 0.84959 0.78391
p-oU 1 0.85872
N-oU 1.1225 1.2057
S-oU 1 1.1205
h-oU 1 1.1399
D-oU 1 1.1478
dZ-oU 1 1.1186
9r-oU 1.5923 0.87538
j-oU 1.078 0.88314
w-oU 1.2426 0.81222
oU-pau 0.80641 1
p-n 1 0.90384
p-l 1 0.8455
p-9r 1 0.63755
p-w 1 0.60228
t-m 1 0.86398
t-n 1 1.1146
t-l 1 0.79598
t-9r 1 0.63259
t-j 1 0.80113
t-w 1 0.58516
k-n 1 0.85344
k-l 1 0.79
k-9r 1 0.5542
k-j 1 0.64442
k-w 1 0.41616
b-m 1 0.71941
b-n 1 0.72266
b-9r 1 0.67415
b-w 1 0.84512
d-m 1 0.82681
d-n 1 1.1054
d-9r 1 0.62338
d-w 1 0.68336
g-m 1 0.78865
g-n 1 0.75803
g-l 1 0.87471
g-j 1 0.74696
g-w 1 1.4416
m-p 0.86159 1
m-g 0.80314 1
m-n 1.1122 0.99948
m-T 1.3131 1
m-s 0.90172 1
m-z 0.90378 1
m-Z 0.87325 1
m-tS 1.1689 1
m-dZ 1.263 1
m-l 1.0458 0.88948
m-9r 1.116 0.96556
m-j 1.2453 0.94506
m-w 0.87077 0.54658
n-m 1.118 0.97189
n-n 1.1748 1.0551
n-f 0.86734 1
n-s 1.3264 1
n-D 1.2375 1
n-z 1.1591 1
n-Z 1.337 1
n-tS 1.3188 1
n-dZ 1.1183 1
n-l 1.4814 0.81826
n-9r 1.3425 1.6516
n-j 1.2764 1.0423
n-w 1.7912 0.92716
pau-n 1 1.1708
N-p 1.2113 1
N-t 1.133 1
N-b 1.2129 1
N-m 1.3876 1.2031
N-T 0.90215 1
N-s 0.90256 1
N-S 0.87097 1
N-D 1.1861 1
N-l 1.0655 0.881
N-9r 1.0317 0.87556
N-j 0.99211 0.84923
N-w 1.1106 0.68429
f-n 1 0.85812
f-l 1 0.85296
f-9r 1 0.85117
T-m 1 0.81419
T-n 1 0.78802
T-9r 1 0.78134
T-j 1 0.89058
T-w 1 0.58709
s-m 1 0.7373
s-n 1 0.77304
s-l 1 0.86003
s-9r 1 0.88331
s-j 1 1.1679
S-l 1 0.59134
S-9r 1 0.69258
S-j 1 0.74836
S-w 1 0.62865
v-n 1 0.85832
v-l 1 0.75624
v-9r 1 0.85056
v-w 1 0.73175
D-m 1 0.74285
D-n 1 2.4035
D-l 1 0.81658
D-9r 1 1.1282
D-w 1 1.3957
z-m 1 0.8585
z-n 1 0.82323
z-l 1 0.64687
z-9r 1 0.7793
z-j 1 0.85426
Z-m 1 1.3177
Z-n 1 0.78826
